,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
0,13 jun 2025,"41,93","42,71","41,42","42,53","42,53",341.200
1,12 jun 2025,"42,77","42,98","42,41","42,65","42,65",207.900
2,11 jun 2025,"42,11","42,73","41,58","42,71","42,71",399.300
3,10 jun 2025,"42,21","42,61","41,42","42,07","42,07",533.500
4,9 jun 2025,"42,90","43,00","41,53","41,99","41,99",423.900
5,6 jun 2025,"43,57","43,60","42,09","43,06","43,06",348.800
6,5 jun 2025,"43,93","43,93","43,36","43,57","43,57",385.100
7,4 jun 2025,"43,49","44,30","43,45","43,58","43,58",374.900
8,3 jun 2025,"43,00","43,49","42,26","43,45","43,45",567.800
9,2 jun 2025,"41,71","44,64","41,54","43,40","43,40",1.035.400
10,30 may 2025,"42,41","42,41","41,22","41,43","41,43",717.300
11,29 may 2025,"42,44","42,81","42,07","42,46","42,46",410.400
12,28 may 2025,"42,09","42,78","42,08","42,33","42,33",518.900
13,27 may 2025,"42,06","42,59","41,75","42,22","42,22",323.100
14,23 may 2025,"40,28","41,77","40,28","41,57","41,57",395.700
15,22 may 2025,"41,07","41,23","40,40","40,53","40,53",250.800
16,21 may 2025,"42,26","42,32","41,22","41,22","41,22",151.400
17,20 may 2025,"41,39","42,18","41,39","42,18","42,18",270.500
18,19 may 2025,"41,83","42,19","41,34","41,63","41,63",160.600
19,16 may 2025,"42,12","42,46","41,40","41,55","41,55",359.100
20,15 may 2025,"42,29","42,44","41,66","42,20","42,20",172.300
21,14 may 2025,"41,86","42,58","41,64","42,35","42,35",277.500
22,13 may 2025,"40,48","41,97","40,48","41,77","41,77",379.200
23,12 may 2025,"41,27","41,81","40,26","40,34","40,34",494.100
24,9 may 2025,"41,20","41,74","40,91","41,16","41,16",334.600
25,8 may 2025,"40,73","41,76","40,73","41,18","41,18",304.000
26,7 may 2025,"41,38","41,42","40,57","40,72","40,72",322.600
27,6 may 2025,"40,07","41,59","40,07","41,19","41,19",427.900
28,5 may 2025,"41,00","41,35","40,12","40,47","40,47",489.100
29,2 may 2025,"41,10","41,32","40,92","40,99","40,99",203.600
30,1 may 2025,"40,30","40,86","40,00","40,50","40,50",224.100
31,30 abr 2025,"40,33","40,53","39,89","40,32","40,32",478.800
32,29 abr 2025,"40,61","40,94","40,30","40,83","40,83",357.100
33,28 abr 2025,"41,78","41,95","40,00","40,67","40,67",719.800
34,25 abr 2025,"41,50","42,33","41,41","42,33","41,76",311.300
35,24 abr 2025,"41,74","42,19","41,55","41,65","41,09",224.600
36,23 abr 2025,"41,92","41,99","41,16","41,37","40,81",291.600
37,22 abr 2025,"40,54","41,40","40,49","41,30","40,74",397.700
38,21 abr 2025,"39,73","40,30","39,49","40,03","39,49",455.100
39,17 abr 2025,"39,75","40,03","39,45","39,53","38,99",197.000
40,16 abr 2025,"39,00","39,87","39,00","39,65","39,11",358.800
41,15 abr 2025,"38,38","39,17","38,02","39,02","38,49",408.300
42,14 abr 2025,"38,39","38,82","37,72","38,29","37,77",538.500
43,11 abr 2025,"36,79","37,98","36,40","37,73","37,22",707.400
44,10 abr 2025,"38,68","38,77","36,21","36,49","36,00",844.100
45,9 abr 2025,"35,77","39,19","35,44","38,98","38,45",890.400
46,8 abr 2025,"38,84","39,07","35,65","36,11","35,62",1.050.200
47,7 abr 2025,"38,81","40,49","37,37","37,59","37,08",1.101.100
48,4 abr 2025,"41,12","41,12","39,28","40,04","39,50",947.300
49,3 abr 2025,"40,84","42,53","40,82","42,23","41,66",684.400
50,2 abr 2025,"41,07","42,07","41,04","42,06","41,49",431.600
51,1 abr 2025,"40,28","41,44","40,20","41,38","40,82",607.900
52,31 mar 2025,"39,23","40,42","39,04","40,20","39,65",462.500
53,28 mar 2025,"43,70","44,11","43,25","43,79","39,44",562.200
54,27 mar 2025,"44,02","44,66","43,62","43,76","39,41",443.600
55,26 mar 2025,"43,82","44,93","43,77","44,29","39,89",442.900
56,25 mar 2025,"43,49","44,16","43,40","43,88","39,52",421.200
57,24 mar 2025,"42,69","43,25","42,69","43,23","38,93",385.500
