,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad
27,1 abr 2025,40.28,41.44,40.2,41.38,40.82,607.9,0.0
193,1 ago 2024,33.12,33.42,32.67,32.82,28.09,183.6,0.0
215,1 jul 2024,32.85,33.0,32.22,32.45,27.78,288.3,0.0
6,1 may 2025,40.3,40.86,40.0,40.5,40.5,224.1,0.0
128,1 nov 2024,32.14,32.45,31.66,31.66,27.8,99.3,4.755567263744673
151,1 oct 2024,31.28,31.4,30.81,31.21,27.4,307.4,3.838446300262646
20,10 abr 2025,38.68,38.77,36.21,36.49,36.0,844.1,3.970046599222735
102,10 dic 2024,32.74,33.29,32.67,32.88,28.87,202.6,3.919906886649223
82,10 ene 2025,32.4,32.51,32.24,32.35,29.13,241.3,2.096609167203078
62,10 feb 2025,39.51,39.87,39.25,39.83,35.87,223.7,3.550580234271573
209,10 jul 2024,33.78,34.62,33.59,34.23,29.3,366.3,3.0633772213033086
229,10 jun 2024,35.71,36.13,34.7,34.78,28.96,198.9,2.971284234131763
43,10 mar 2025,41.04,41.66,40.23,40.49,36.46,373.7,3.6127662531639086
249,10 may 2024,34.45,34.68,34.17,34.22,28.49,206.2,3.1661569765253255
144,10 oct 2024,31.48,31.89,31.32,31.82,27.94,134.8,3.2188460665275644
166,10 sept 2024,31.38,31.6,30.66,31.16,26.67,384.5,3.6869608080368814
19,11 abr 2025,36.79,37.98,36.4,37.73,37.22,707.4,3.969386602486582
101,11 dic 2024,33.0,33.7,32.6,33.32,29.26,296.2,2.580174412709333
61,11 feb 2025,39.84,40.24,39.51,40.04,36.06,286.4,3.8846467020824362
208,11 jul 2024,34.35,34.41,33.98,34.17,29.25,159.2,3.560481708982641
228,11 jun 2024,34.78,35.13,33.92,33.99,28.3,369.3,2.9057443108436
42,11 mar 2025,40.57,41.45,39.9,41.37,37.26,385.4,3.8098385792576486
122,11 nov 2024,32.19,32.38,32.06,32.32,28.38,108.9,4.042755248589747
143,11 oct 2024,31.81,32.36,31.81,32.35,28.41,257.7,3.7537581168743364
165,11 sept 2024,31.15,31.71,30.91,31.57,27.02,286.0,4.0390221588894475
186,12 ago 2024,31.83,33.09,31.83,32.98,28.23,278.6,4.0846505358475875
100,12 dic 2024,33.21,33.37,32.96,33.14,29.1,148.4,0.6236745946405363
60,12 feb 2025,39.86,40.27,39.72,39.99,36.01,234.2,3.4017392610251616
207,12 jul 2024,34.15,34.63,33.97,34.51,29.54,144.7,3.2736019916904993
227,12 jun 2024,34.59,34.59,33.33,33.36,27.78,404.0,2.9648659328880282
41,12 mar 2025,42.01,42.56,41.65,42.39,38.18,196.5,4.237424925588646
121,12 nov 2024,32.32,32.32,31.16,31.35,27.53,237.5,4.665093782551424
164,12 sept 2024,31.48,32.11,31.45,31.86,27.27,383.4,4.479277843581486
185,13 ago 2024,32.99,33.75,32.99,33.52,28.69,155.5,4.511211588919325
99,13 dic 2024,33.21,33.39,32.93,33.19,29.14,138.6,4.522540215409922
81,13 ene 2025,31.95,32.42,31.83,32.33,29.12,343.3,0.9034655499796883
59,13 feb 2025,39.87,40.38,39.35,40.32,36.31,393.2,3.460481180414079
226,13 jun 2024,33.39,33.54,32.73,32.8,27.31,388.3,3.3213205205158998
40,13 mar 2025,42.14,42.67,41.45,41.57,37.44,318.0,4.507867566821362
248,13 may 2024,34.44,35.24,34.44,34.65,28.85,141.3,4.320327533879802
120,13 nov 2024,31.35,31.45,30.68,31.2,27.4,330.9,4.602485198238007
163,13 sept 2024,31.84,32.31,31.68,31.81,27.23,360.7,4.212461275786405
18,14 abr 2025,38.39,38.82,37.72,38.29,37.77,538.5,4.400497699124494
184,14 ago 2024,33.76,33.87,33.36,33.86,28.98,147.1,2.8051327954305556
80,14 ene 2025,32.51,32.6,32.19,32.43,29.21,224.2,2.8444278862365384
58,14 feb 2025,40.49,41.0,40.49,40.71,36.66,277.6,3.8931606696872905
225,14 jun 2024,32.68,32.85,32.43,32.46,27.03,135.4,3.7507265962743785
39,14 mar 2025,42.25,43.29,41.77,43.12,38.83,325.9,5.034960774425152
247,14 may 2024,34.79,35.15,34.46,35.08,29.21,176.1,4.901872091354478
119,14 nov 2024,31.35,31.83,31.11,31.48,27.64,476.6,5.1249975609750225
142,14 oct 2024,32.32,33.03,32.1,32.64,28.66,209.2,4.75243937362698
17,15 abr 2025,38.38,39.17,38.02,39.02,38.49,408.3,4.796406988569669
183,15 ago 2024,34.32,34.59,34.1,34.3,29.36,137.2,2.8890621315575817
79,15 ene 2025,33.07,33.14,32.48,32.51,29.28,401.4,2.987892233665744
206,15 jul 2024,34.48,34.52,33.95,33.96,29.07,190.0,2.654275795768036
246,15 may 2024,35.39,35.92,35.22,35.66,29.69,323.8,2.4661305723744644
118,15 nov 2024,31.5,31.97,31.48,31.78,27.9,303.7,1.5292874157594063
141,15 oct 2024,32.75,32.75,31.95,32.27,28.34,508.3,1.5795663961986874
16,16 abr 2025,39.0,39.87,39.0,39.65,39.11,358.8,3.1779128370677534
182,16 ago 2024,34.24,34.65,33.72,33.9,29.02,126.1,3.1813471989080377
98,16 dic 2024,33.19,33.35,32.77,32.86,28.85,159.8,3.205896130569431
78,16 ene 2025,32.47,32.47,31.78,32.05,28.86,222.9,3.159150202190464
205,16 jul 2024,34.17,34.4,34.1,34.33,29.39,191.4,2.982728616552307
245,16 may 2024,35.64,35.99,35.48,35.9,29.89,174.0,1.4702618814347554
140,16 oct 2024,32.44,32.45,32.07,32.19,28.26,407.8,1.6333493196496827
162,16 sept 2024,31.95,32.01,31.7,31.77,27.19,172.5,1.7988107182247086
15,17 abr 2025,39.75,40.03,39.45,39.53,38.99,197.0,3.153613800071279
97,17 dic 2024,32.7,32.85,32.22,32.55,28.58,228.8,3.3086885619532147
77,17 ene 2025,32.17,32.37,31.94,32.15,28.95,235.6,3.3052866744051226
204,17 jul 2024,34.33,34.33,33.62,33.83,28.96,148.3,3.2055389562443404
224,17 jun 2024,32.3,32.9,32.3,32.76,27.28,210.6,3.063409864840166
38,17 mar 2025,43.17,43.97,43.17,43.89,39.53,285.2,4.988414577799243
244,17 may 2024,36.01,36.57,35.91,36.33,30.25,298.5,4.800356236780761
139,17 oct 2024,32.28,32.44,32.06,32.11,28.19,138.9,4.807970465799467
161,17 sept 2024,31.8,31.8,31.43,31.58,27.03,207.3,5.131016468498221
96,18 dic 2024,32.53,32.64,31.56,31.56,27.71,270.2,5.3065742244879575
57,18 feb 2025,40.9,41.39,40.77,41.09,37.0,467.6,4.17292822847458
203,18 jul 2024,33.71,33.77,33.18,33.21,28.43,119.8,4.069207539558535
223,18 jun 2024,32.87,33.68,32.86,33.13,27.58,231.4,3.9810212257660744
37,18 mar 2025,44.03,44.03,42.92,43.08,38.8,380.2,5.265741163407097
117,18 nov 2024,31.7,32.92,31.7,32.82,28.82,339.6,4.998752844460298
138,18 oct 2024,32.32,33.2,32.16,33.14,29.1,403.2,4.476899596819208
160,18 sept 2024,31.65,31.9,31.42,31.73,27.16,325.1,4.6756336468974995
181,19 ago 2024,33.82,34.83,33.82,34.79,29.78,153.9,4.58728350987815
95,19 dic 2024,31.7,32.22,31.7,31.89,28.0,334.6,1.2269596570385213
56,19 feb 2025,41.0,41.55,40.36,41.52,37.39,349.5,4.050744376037575
202,19 jul 2024,33.11,33.92,33.11,33.64,28.8,142.8,4.01123796352199
36,19 mar 2025,42.86,43.07,42.42,42.93,38.66,469.7,4.946476523748998
116,19 nov 2024,32.49,33.21,32.38,32.94,28.92,296.4,5.210933697524848
159,19 sept 2024,32.12,32.28,31.8,32.22,27.58,197.0,5.138200073955859
26,2 abr 2025,41.07,42.07,41.04,42.06,41.49,431.6,5.270134723135641
192,2 ago 2024,32.28,32.54,31.68,31.79,27.21,221.3,5.5984792577984965
108,2 dic 2024,32.65,32.83,32.47,32.65,28.67,222.7,4.341977660007032
87,2 ene 2025,31.66,32.37,31.66,32.34,29.12,171.5,4.397996134604957
214,2 jul 2024,32.62,33.37,32.56,33.37,28.56,274.0,4.296681277451253
5,2 may 2025,41.1,41.32,40.92,40.99,40.99,203.6,3.822933428664451
150,2 oct 2024,31.26,31.43,30.95,31.3,27.48,312.3,3.9064241961159487
180,20 ago 2024,34.35,34.35,33.12,33.26,28.47,357.6,3.8578711746246954
94,20 dic 2024,31.6,32.54,31.6,32.19,28.26,214.6,3.8769923910165383
55,20 feb 2025,42.77,44.25,42.55,43.44,39.12,,5.569760318002921
222,20 jun 2024,33.13,33.31,32.64,32.78,27.29,182.6,4.998787853069991
35,20 mar 2025,42.54,42.7,42.25,42.67,38.43,301.7,5.667174781140949
243,20 may 2024,36.35,37.34,36.35,37.31,31.06,340.8,5.300110376209151
115,20 nov 2024,32.86,33.5,32.76,33.47,29.39,375.8,4.990644246988548
158,20 sept 2024,32.22,32.41,31.8,32.16,27.53,444.4,4.3932186378554
14,21 abr 2025,39.73,40.3,39.49,40.03,39.49,455.1,4.394043695731753
179,21 ago 2024,33.53,33.76,33.1,33.18,28.4,124.4,3.3200677703926607
76,21 ene 2025,32.31,32.49,32.05,32.37,29.15,277.2,3.2811537604934267
54,21 feb 2025,43.16,43.66,42.72,42.79,38.54,451.1,4.9538802973023115
221,21 jun 2024,32.71,32.98,32.46,32.59,27.13,295.4,4.87129551556873
34,21 mar 2025,42.45,42.75,42.15,42.68,38.44,595.8,5.497214749307142
242,21 may 2024,37.25,37.85,37.2,37.27,31.03,208.2,5.130458069217595
114,21 nov 2024,33.3,33.61,32.76,32.76,28.77,184.4,5.0342695597276
137,21 oct 2024,33.11,33.4,32.7,33.3,29.24,311.3,4.337597261157389
13,22 abr 2025,40.54,41.4,40.49,41.3,40.74,397.7,4.511808949855919
178,22 ago 2024,33.32,33.32,32.52,32.71,28.0,277.6,3.7715871990449963
75,22 ene 2025,32.27,33.14,32.21,33.07,29.78,359.7,3.737468394515213
201,22 jul 2024,33.77,34.11,33.62,33.95,29.06,133.1,3.6249731033485073
241,22 may 2024,37.16,37.21,35.88,35.94,29.92,247.0,3.530896486729691
113,22 nov 2024,32.8,32.99,32.61,32.79,28.79,85.3,1.3495258426574022
136,22 oct 2024,33.27,33.28,32.6,32.63,28.65,136.0,1.3644705933072254
12,23 abr 2025,41.92,41.99,41.16,41.37,40.81,291.6,3.62282762493609
